City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Ayame,CI,5.6083,-3.1563,69.31,95,25,3.29,scattered clouds
79,Kapaa,US,22.0752,-159.319,81.48,77,99,3.0,overcast clouds
80,Paamiut,GL,61.994,-49.6678,43.81,86,13,11.88,few clouds
81,Georgetown,MY,5.4112,100.3354,87.73,66,20,10.36,few clouds
82,Hilo,US,19.7297,-155.09,85.28,87,75,5.99,broken clouds
83,Vaini,TO,-21.2,-175.2,75.97,83,0,16.69,light rain
84,Mount Gambier,AU,-37.8333,140.7667,53.29,65,97,4.99,overcast clouds
85,Zaozerne,UA,45.1582,33.2787,74.32,55,0,12.37,clear sky
86,Faya,SA,18.3851,42.4509,63.48,76,21,3.94,few clouds
87,Jamestown,US,42.097,-79.2353,76.71,52,96,1.99,overcast clouds
88,Ponta Do Sol,PT,32.6667,-17.1,73.0,83,0,3.91,clear sky
89,Kodiak,US,57.79,-152.4072,58.28,65,61,1.86,broken clouds
90,Fukue,JP,32.6881,128.8419,84.36,78,56,10.89,broken clouds
91,Makakilo City,US,21.3469,-158.0858,81.68,67,39,13.35,scattered clouds
92,Suluova,TR,40.8313,35.6479,60.66,88,0,8.05,clear sky
93,Kaitangata,NZ,-46.2817,169.8464,43.23,57,31,12.73,scattered clouds
94,Kontagora,NG,10.3999,5.4695,71.49,91,100,4.32,light rain
95,Peace River,CA,56.2501,-117.286,67.01,65,100,7.9,overcast clouds
96,Narsaq,GL,60.9167,-46.05,41.22,73,2,4.52,clear sky
97,Hithadhoo,MV,-0.6,73.0833,81.34,69,100,1.68,overcast clouds
98,Abaetetuba,BR,-1.7181,-48.8825,75.56,88,1,5.57,clear sky
99,Ariquemes,BR,-9.9133,-63.0408,74.98,75,77,1.39,broken clouds
100,Puri,IN,19.8,85.85,84.72,74,80,9.51,broken clouds
101,Vila Franca Do Campo,PT,37.7167,-25.4333,70.21,86,86,4.81,overcast clouds
102,Saint George,US,37.1041,-113.5841,97.95,17,0,7.0,clear sky
103,Guerrero Negro,MX,27.9769,-114.0611,75.24,78,49,10.98,scattered clouds
104,Norman Wells,CA,65.282,-126.8329,54.61,88,100,8.25,light rain
105,Voh,NC,-20.9667,164.7,76.87,70,78,6.11,broken clouds
106,Whitianga,NZ,-36.8333,175.7,59.38,71,95,5.08,overcast clouds
107,Polovinnoye,RU,54.7914,65.9864,66.47,65,100,9.86,overcast clouds
108,Chuy,UY,-33.6971,-53.4616,47.07,89,6,7.09,clear sky
109,Uarini,BR,-2.99,-65.1083,74.95,85,19,1.86,few clouds
110,Ilo,PE,-17.6394,-71.3375,58.75,81,47,3.67,scattered clouds
111,Karlstad,SE,59.3793,13.5036,46.96,89,98,4.61,fog
112,Marawi,PH,7.9986,124.2928,79.97,65,92,5.73,overcast clouds
113,Podor,MR,16.6527,-14.9587,84.43,59,0,9.62,clear sky
114,Bani,DO,18.2833,-70.3333,74.64,73,77,12.62,broken clouds
115,Bathsheba,BB,13.2167,-59.5167,81.05,96,28,18.95,scattered clouds
