City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
67,Kattivakkam,13.2167,80.3167,84.29,78,100,17.6,IN,2022-08-07 22:21:20
68,Ayan,56.45,138.1667,54.19,95,100,19.93,RU,2022-08-07 22:21:20
69,Chuy,-33.6971,-53.4616,47.68,86,11,7.49,UY,2022-08-07 22:21:20
70,Saint-Paul,-21.0096,55.2707,68.11,79,87,2.39,RE,2022-08-07 22:21:21
71,Pisco,-13.7,-76.2167,64.45,72,20,13.8,PE,2022-08-07 22:21:21
72,Homer,59.6425,-151.5483,60.67,73,100,15.99,US,2022-08-07 22:21:21
73,Port Alfred,-33.5906,26.891,62.19,97,96,5.01,ZA,2022-08-07 22:21:22
74,Poronaysk,49.2167,143.1167,57.85,99,100,6.38,RU,2022-08-07 22:21:22
75,Sur,22.5667,59.5289,86.77,63,58,7.52,OM,2022-08-07 22:21:22
76,Mahibadhoo,3.7833,72.9667,81.36,77,99,13.82,MV,2022-08-07 22:21:23
77,Cedar City,37.6775,-113.0619,89.4,18,0,8.05,US,2022-08-07 22:19:09
78,Khatanga,71.9667,102.5,52.16,79,73,7.54,RU,2022-08-07 22:21:23
79,Alice Springs,-23.7,133.8833,35.15,69,0,0.0,AU,2022-08-07 22:21:23
80,Cidreira,-30.1811,-50.2056,58.77,90,100,11.56,BR,2022-08-07 22:21:24
81,Oleksandrivka,48.9634,32.2349,68.0,79,6,7.02,UA,2022-08-07 22:21:24
82,Pitimbu,-7.4706,-34.8086,75.79,74,46,10.8,BR,2022-08-07 22:21:24
83,Didam,51.9372,6.1276,62.08,75,2,7.74,NL,2022-08-07 22:21:25
84,East London,-33.0153,27.9116,67.3,86,100,19.04,ZA,2022-08-07 22:21:25
85,Shimoda,34.6667,138.95,86.11,82,33,8.81,JP,2022-08-07 22:21:25
86,Liverpool,53.4106,-2.9779,61.61,79,20,2.3,GB,2022-08-07 22:17:59
87,Ballina,-28.8667,153.5667,51.78,69,0,9.04,AU,2022-08-07 22:21:26
88,Torbay,47.6666,-52.7314,72.54,87,48,17.36,CA,2022-08-07 22:21:26
89,Lebu,-37.6167,-73.65,46.85,85,100,8.99,CL,2022-08-07 22:22:26
90,Katobu,-4.9408,122.5276,72.28,95,70,2.17,ID,2022-08-07 22:22:27
91,Morena,26.4969,78.0,80.26,83,83,5.01,IN,2022-08-07 22:22:27
92,Maracas,-13.4411,-40.4308,65.97,71,85,7.27,BR,2022-08-07 22:22:27
93,Qaanaaq,77.484,-69.3632,44.56,53,4,4.72,GL,2022-08-07 22:22:28
94,Necochea,-38.5473,-58.7368,41.36,76,98,6.89,AR,2022-08-07 22:22:28
95,Biltine,14.5333,20.9167,83.37,65,100,17.6,TD,2022-08-07 22:22:28
96,Hithadhoo,-0.6,73.0833,81.61,70,99,3.76,MV,2022-08-07 22:22:28
97,Iskateley,67.6803,53.1512,58.48,89,94,8.55,RU,2022-08-07 22:21:16
98,Bathsheba,13.2167,-59.5167,83.01,94,20,10.36,BB,2022-08-07 22:22:29
99,Provideniya,64.3833,-173.3,42.91,75,100,17.9,RU,2022-08-07 22:22:29
100,Lunenburg,44.3835,-64.3155,87.01,65,58,13.8,CA,2022-08-07 22:18:34
101,Ritchie,-29.038,24.6028,51.01,42,10,18.28,ZA,2022-08-07 22:22:29
102,Fukue,32.6881,128.8419,83.03,82,62,11.68,JP,2022-08-07 22:22:30
103,Avarua,-21.2078,-159.775,77.05,61,20,20.71,CK,2022-08-07 22:22:30
104,Saravan,39.7196,45.6483,59.94,80,6,6.96,AM,2022-08-07 22:22:30
105,Chokurdakh,70.6333,147.9167,48.43,50,100,14.32,RU,2022-08-07 22:22:31
106,Ostrovnoy,68.0531,39.5131,52.75,75,100,18.59,RU,2022-08-07 22:22:31
